,問題,回答,,,
1945,當你進入人行橫道時它在眨眼嗎？,不，白色的步行標誌在閃爍。,,,
1946,不，白色的步行標誌在閃爍。,你應該對抗那張罰單。我會成為你的見證人。,,,
1947,凌晨 3 點，他們在學校附近的人行道上,世界衛生組織?,,,
1948,世界衛生組織?,兩名來自南加州大學的學生。,,,
1949,兩名來自南加州大學的學生。,發生了什麼事？,,,
1950,發生了什麼事？,一輛超速行駛的汽車闖紅燈，導致女孩死亡。,,,
1951,一輛超速行駛的汽車闖紅燈，導致女孩死亡。,另一個學生怎麼了？,,,
1952,另一個學生怎麼了？,他落在汽車引擎蓋上。,,,
1953,他落在汽車引擎蓋上。,他脫身了嗎？,,,
1954,他脫身了嗎？,不，車子停了下來，乘客將受傷的學生從引擎蓋上推了下來。,,,
1955,不，車子停了下來，乘客將受傷的學生從引擎蓋上推了下來。,我敢打賭汽車會繼續行駛。,,,
1956,我敢打賭汽車會繼續行駛。,當然是這樣。為什麼在碾過兩個人之後就停下來？,,,
1957,當然是這樣。為什麼在碾過兩個人之後就停下來？,我希望他們找到他們並將他們終身監禁。,,,
1958,你的車怎麼了？,我在停車場被撞了。,,,
1959,我在停車場被撞了。,你怎麼得到的？,,,
1960,你怎麼得到的？,我不知道。也許是從購物車裡拿出來的。,,,
1961,我不知道。也許是從購物車裡拿出來的。,那些購物車很危險。,,,
1962,那些購物車很危險。,尤其是金屬的。,,,
1963,尤其是金屬的。,我不會在使用金屬購物車的商店停車。,,,
1964,我不會在使用金屬購物車的商店停車。,這是個好主意，但這家商店的促銷活動很好。,,,
1965,這是個好主意，但這家商店的促銷活動很好。,出售時你省錢了嗎？,,,
1966,出售時你省錢了嗎？,是的，我做到了。我節省了大約 50 美元。,,,
1967,是的，我做到了。我節省了大約 50 美元。,那太棒了。,,,
1968,那太棒了。,是的，除了這個凹痕要花費大約 150 美元。,,,
1969,你看過「泰坦尼克號」嗎？,是的。這是一部很棒的電影。,,,
1970,是的。這是一部很棒的電影。,我看了十二遍。,,,
1971,我看了十二遍。,我看了八次。,,,
1972,我看了八次。,我有DVD。,,,
1973,我有DVD。,我也是。,,,
1974,我也是。,我們去你家吧。,,,
1975,我們去你家吧。,我們可以看我的DVD。,,,
1976,我們可以看我的DVD。,然後我們就可以去我家了。,,,
1977,然後我們就可以去我家了。,並觀看您的 DVD。,,,
1978,並觀看您的 DVD。,我總是在最後哭。,,,
1979,我總是在最後哭。,我也是。太悲傷了。,,,
1980,我們來打牌吧。,我不知道任何卡牌遊戲。,,,
1981,我不知道任何卡牌遊戲。,我教你一個。,,,
1982,我教你一個。,好的。你會教我什麼？,,,
1983,好的。你會教我什麼？,這就是所謂的撲克。,,,
1984,這就是所謂的撲克。,容易學嗎？,,,
1985,容易學嗎？,是的，只需要大約 30 分鐘。,,,
1986,是的，只需要大約 30 分鐘。,好的。教我怎麼玩。,,,
1987,好的。教我怎麼玩。,我們每人拿到五張牌。,,,
1988,我們每人拿到五張牌。,哦，看。我有四個十。,,,
1989,哦，看。我有四個十。,那太好了，但你不應該告訴我。,,,
1990,那太好了，但你不應該告訴我。,哦。對不起。好吧，我沒有四個十。,,,
1991,我是一個打牌的好手。,這是為什麼？,,,
1992,這是為什麼？,因為我會觀察其他球員。,,,
1993,因為我會觀察其他球員。,你是什麼意思？,,,
1994,你是什麼意思？,人們會告訴你他們是否有一手好牌。,,,
1995,人們會告訴你他們是否有一手好牌。,他們是怎麼做到的？,,,
1996,他們是怎麼做到的？,例如，我的一個朋友舔嘴唇。,,,
1997,例如，我的一個朋友舔嘴唇。,當他舔嘴唇的時候，你知道他有一手好手嗎？,,,
1998,當他舔嘴唇的時候，你知道他有一手好手嗎？,我知道他有一手好牌，所以我不打賭。,,,
1999,我知道他有一手好牌，所以我不打賭。,他從來沒有贏過你的錢？,,,
2000,他從來沒有贏過你的錢？,不，這讓他發瘋。,,,
2001,不，這讓他發瘋。,他知道你無法讀懂他的想法。也許他認為你在作弊。,,,
2002,請把收音機關小聲。,但我正在聽。,,,
2003,但我正在聽。,嗯，安靜點聽吧。,,,
2004,嗯，安靜點聽吧。,我等不及長大了。,,,
2005,我等不及長大了。,你會怎麼做？,,,
2006,你會怎麼做？,我會盡可能大聲地播放收音機。,,,
2007,我會盡可能大聲地播放收音機。,我沒關係。,,,
2008,我沒關係。,我家的每個房間都會有一台收音機。,,,
2009,我家的每個房間都會有一台收音機。,提醒我永遠不要去看你。,,,
2010,提醒我永遠不要去看你。,所有的收音機都會開得特別大聲。,,,
2011,所有的收音機都會開得特別大聲。,你的鄰居會恨你。,,,
2012,你的鄰居會恨你。,如果他們不喜歡，他們可以搬走。,,,
2013,我希望我能中樂透。,你的機會很小。,,,
2014,你的機會很小。,但如果你不玩，你就贏不了。,,,
2015,但如果你不玩，你就贏不了。,哈！如果你玩的話你就贏不了。,,,
2016,哈！如果你玩的話你就贏不了。,必須有人贏。,,,
2017,必須有人贏。,大家都這麼說。,,,
2018,大家都這麼說。,也可能是我。,,,
2019,也可能是我。,大家都這麼說。,,,
2020,大家都這麼說。,你想告訴我一些事情。,,,
2021,你想告訴我一些事情。,這並沒有花很長時間。,,,
2022,這並沒有花很長時間。,你認為我應該退出遊戲。,,,
2023,你認為我應該退出遊戲。,省點錢上學。,,,
2024,電視上有什麼節目？,沒什麼。,,,
2025,沒什麼。,棒球比賽怎麼樣？,,,
2026,棒球比賽怎麼樣？,下雨了。,,,
2027,下雨了。,下雨了嗎？,,,
2028,下雨了嗎？,是的，下雨了。,,,
2029,是的，下雨了。,怎麼可能呢？,,,
2030,怎麼可能呢？,嗯，你不能在暴風雨中打棒球。,,,
2031,嗯，你不能在暴風雨中打棒球。,我以為他們在圓頂下玩耍。,,,
2032,我以為他們在圓頂下玩耍。,圓頂沒有關閉。,,,
2033,圓頂沒有關閉。,為什麼它不關閉？,,,
2034,為什麼它不關閉？,誰知道？他們說他們會在下個賽季之前解決這個問題。,,,
2035,我可以嚐嚐你的咖啡嗎？,當然。幹得好。,,,
2036,當然。幹得好。,嗯，那還不錯。,,,
2037,嗯，那還不錯。,裡面什麼也沒有。,,,
2038,裡面什麼也沒有。,你是什麼意思？,,,
2039,你是什麼意思？,我的意思是，這只是咖啡。,,,
2040,我的意思是，這只是咖啡。,我想到了。,,,
2041,我想到了。,這對你來說不是太苦了嗎？,,,
2042,這對你來說不是太苦了嗎？,有點苦，不過沒關係。,,,
2043,有點苦，不過沒關係。,裡面沒有糖或奶油。,,,
2044,裡面沒有糖或奶油。,不，這是你必須習慣的味道。,,,
2045,不，這是你必須習慣的味道。,有點像啤酒。,,,
2046,我們去溜達一下。,天氣如何？,,,
2047,天氣如何？,讓我出去看看。,,,
2048,讓我出去看看。,有點冷，對吧？,,,
2049,有點冷，對吧？,是的。,,,
2050,是的。,我會戴上我的帽子。,,,
2051,我會戴上我的帽子。,也穿一件夾克。,,,
2052,也穿一件夾克。,我不知道我是否應該帶上手套。,,,
2053,我不知道我是否應該帶上手套。,也許你應該這樣做，以防萬一天氣變冷。,,,
2054,也許你應該這樣做，以防萬一天氣變冷。,我會在每個口袋裡放一隻手套。,,,
2055,我會在每個口袋裡放一隻手套。,當我們走路的時候我們會變得更暖和。,,,
2056,當我們走路的時候我們會變得更暖和。,是的，但是隨著太陽落山，天氣會變得更冷。,,,
2057,看電視裡的汽車追逐戰吧！,那個司機瘋了。,,,
2058,那個司機瘋了。,我不敢相信他沒有摔倒。,,,
2059,我不敢相信他沒有摔倒。,他開得多快？,,,
2060,他開得多快？,他們說他的時速是 80 英里。,,,
2061,他們說他的時速是 80 英里。,他要殺人。,,,
2062,他要殺人。,看！他剛剛撞到了那輛車。,,,
2063,看！他剛剛撞到了那輛車。,哦，我的天啊。街上沒有人是安全的。,,,
2064,哦，我的天啊。街上沒有人是安全的。,現在他放慢了速度。,,,
2065,現在他放慢了速度。,也許他沒油了。,,,
2066,也許他沒油了。,看！他剛下車就開始跑。,,,
2067,看！他剛下車就開始跑。,我希望警察抓住他。,,,
2068,電視新聞太愚蠢了。,他們甚至不應該稱之為新聞。,,,
2069,他們甚至不應該稱之為新聞。,昨晚他們告訴我們沙發上有一隻貓。,,,
2070,昨晚他們告訴我們沙發上有一隻貓。,昨天他們告訴我們關於一隻狗在管道裡的事。,,,
2071,昨天他們告訴我們關於一隻狗在管道裡的事。,上週他們告訴我們後院有一隻熊。,,,
2072,上週他們告訴我們後院有一隻熊。,上個月他們告訴我們一家餐廳裡有一隻老鼠。,,,
2073,上個月他們告訴我們一家餐廳裡有一隻老鼠。,天氣預報員告訴我們每個城鎮的氣溫。,,,
2074,天氣預報員告訴我們每個城鎮的氣溫。,運動員向我們展示了球員們的戰鬥。,,,
2075,運動員向我們展示了球員們的戰鬥。,他們總是告訴我們「接下來會發生什麼」。,,,
2076,他們總是告訴我們「接下來會發生什麼」。,他們總是讓「接下來會發生什麼」聽起來令人興奮，但事實並非如此。,,,
2077,他們總是讓「接下來會發生什麼」聽起來令人興奮，但事實並非如此。,這更像是給孩子看的新聞。,,,
2078,這更像是給孩子看的新聞。,他們應該有小記者。,,,
2079,我愛我的電腦。,電腦太酷了。,,,
2080,電腦太酷了。,我喜歡上網。,,,
2081,我喜歡上網。,網路太棒了。,,,
2082,網路太棒了。,你可以環遊世界。,,,
2083,你可以環遊世界。,我知道。我昨天去了中國。,,,
2084,我知道。我昨天去了中國。,你做了什麼？,,,
2085,你做了什麼？,我站在長城上環顧四周。,,,
2086,我站在長城上環顧四周。,那是什麼樣子的？,,,
2087,那是什麼樣子的？,就像真的一樣。,,,
2088,就像真的一樣。,就像身臨其境一樣？,,,
2089,就像身臨其境一樣？,是的，我感覺我真的在那裡。,,,
2090,披頭四是最好的。,他們是有史以來最好的音樂團體。,,,
2091,他們是有史以來最好的音樂團體。,我喜歡他們所有的歌曲。,,,
2092,我喜歡他們所有的歌曲。,我不知道我最喜歡哪一個。,,,
2093,我不知道我最喜歡哪一個。,我喜歡那些可以和我一起唱歌的人。,,,
2094,我喜歡那些可以和我一起唱歌的人。,我也是，就像「她愛你」。,,,
2095,我也是，就像「她愛你」。,「她愛你，是啊，是啊，是啊！…」,,,
2096,「她愛你，是啊，是啊，是啊！…」,“??你知道你應該感到高興！”,,,
2097,“??你知道你應該感到高興！”,多棒的一首歌。,,,
2098,多棒的一首歌。,“順其自然”怎麼樣？,,,
2099,“順其自然”怎麼樣？,哦是的！ “讓它順其自然吧？？？” 2100，哦,是的！ 「『隨它去,隨它去？？？””,“??宇這裡會有答案，就這樣吧！”
2101,我們去看電影吧。,我寧願不要。,,,
2102,我寧願不要。,為什麼不？,,,
2103,為什麼不？,你知道我不喜歡人群。,,,
2104,你知道我不喜歡人群。,我們去看場早場電影吧。,,,
2105,我們去看場早場電影吧。,好的，不會很擁擠。,,,
2106,好的，不會很擁擠。,請問您想看到什麼？,,,
2107,請問您想看到什麼？,哦，我不在乎。你是那個想出去的人。,,,
2108,哦，我不在乎。你是那個想出去的人。,嗯，我想看《追求幸福》。,,,
2109,嗯，我想看《追求幸福》。,你聽過什麼嗎？,,,
2110,你聽過什麼嗎？,它是根據一個離婚男人和他年幼的兒子的真實故事改編的。,,,
2111,它是根據一個離婚男人和他年幼的兒子的真實故事改編的。,好吧，我希望它有一個美好的結局。,,,
2112,你最喜歡做的事情是什麼？,我喜歡看人。,,,
2113,我喜歡看人。,那是你最喜歡做的事？,,,
2114,那是你最喜歡做的事？,嗯，這是其中之一。,,,
2115,嗯，這是其中之一。,你去哪裡看人？,,,
2116,你去哪裡看人？,我和女朋友坐在星巴克外面。,,,
2117,我和女朋友坐在星巴克外面。,聽起來是個好地方。,,,
2118,聽起來是個好地方。,我們看著人們帶著他們的狗走過。,,,
2119,我們看著人們帶著他們的狗走過。,我猜你看到了很多不同的狗。,,,
2120,我猜你看到了很多不同的狗。,我們甚至不知道他們中的大多數是什麼類型的。,,,
2121,我們甚至不知道他們中的大多數是什麼類型的。,有很多不同的種類，但它們都有一個共同點。,,,
2122,有很多不同的種類，但它們都有一個共同點。,是的，他們在見面時喜歡互相嗅聞。,,,
2123,他們稱他為美元鈔票之父。,是的，他今天上了電視新聞。,,,
2124,是的，他今天上了電視新聞。,每個復活節週日他都會捐錢。,,,
2125,每個復活節週日他都會捐錢。,是他的錢嗎？,,,
2126,是他的錢嗎？,不。電影明星給他錢來幫助無家可歸的人。,,,
2127,不。電影明星給他錢來幫助無家可歸的人。,他捐了多少錢？,,,
2128,他捐了多少錢？,"今年他捐了 15,000 美元。",,,
2129,"今年他捐了 15,000 美元。",那是很多錢。,,,
2130,那是很多錢。,他向坐輪椅的人捐贈了 100 美元。,,,
2131,他向坐輪椅的人捐贈了 100 美元。,其他無家可歸的人怎麼辦？,,,
2132,其他無家可歸的人怎麼辦？,他們每人得到 1 美元。,,,
2133,他們每人得到 1 美元。,人們排隊只是為了得到一塊錢？！,,,
2134,老電影是最好的。,即使它們是黑白的。,,,
2135,即使它們是黑白的。,一個好的故事比色彩更重要。,,,
2136,一個好的故事比色彩更重要。,那時候演員是不會罵人的。,,,
2137,那時候演員是不會罵人的。,並且沒有發生暴力事件。,,,
2138,並且沒有發生暴力事件。,今天的人們不喜歡那樣。,,,
2139,今天的人們不喜歡那樣。,不，今天人們喜歡大量的行動。,,,
2140,不，今天人們喜歡大量的行動。,我喜歡好故事。,,,
2141,我喜歡好故事。,我喜歡看到像真人一樣的演員。,,,
2142,我喜歡看到像真人一樣的演員。,就像有實際問題的真實的人一樣。,,,
2143,就像有實際問題的真實的人一樣。,他們仍然製作那樣的電影。,,,
2144,他們仍然製作那樣的電影。,是的，但他們從來沒有賺到多少錢。,,,
2145,你在電視上看 pbs 嗎？,是的，每個人都可以使用公共廣播系統。,,,
2146,是的，每個人都可以使用公共廣播系統。,它讓我入睡。,,,
2147,它讓我入睡。,告訴我怎麼回事。,,,
2148,告訴我怎麼回事。,針織表演之後是園藝表演。,,,
2149,針織表演之後是園藝表演。,縫紉表演之後是烹飪表演。,,,
2150,縫紉表演之後是烹飪表演。,一個旅遊節目接著另一個旅遊節目。,,,
2151,一個旅遊節目接著另一個旅遊節目。,我會說！我已經環遊世界十幾次了！,,,
2152,我會說！我已經環遊世界十幾次了！,現在他們正在將舊電視節目添加到舊電影中。,,,
2153,現在他們正在將舊電視節目添加到舊電影中。,我確實希望看到一些有趣的改變。,,,
2154,我確實希望看到一些有趣的改變。,如果有更多人捐款，公共廣播公司就可以提供新節目。,,,
2155,如果有更多人捐款，公共廣播公司就可以提供新節目。,誰想捐款？公共電視應該是免費的。,,,
2156,我喜歡看《朱迪法官》。,那是電視劇嗎？,,,
2157,那是電視劇嗎？,是的。每天下午都有。,,,
2158,是的。每天下午都有。,它有什麼好處呢？,,,
2159,它有什麼好處呢？,他們有有趣的訴訟。,,,
2160,他們有有趣的訴訟。,例如？,,,
2161,例如？,昨天，一位女士抱怨她在 eBay 上購買的手機。,,,
2162,昨天，一位女士抱怨她在 eBay 上購買的手機。,手機有問題嗎？,,,
2163,手機有問題嗎？,它僅在加拿大有效。,,,
2164,它僅在加拿大有效。,賣家知道嗎？,,,
2165,賣家知道嗎？,是的，他沒有告訴買家。,,,
2166,是的，他沒有告訴買家。,我希望朱迪法官讓賣家拿回手機。,,,
2167,那個女人是一位非常好的歌手。,是的，但她看起來像個男人。,,,
2168,是的，但她看起來像個男人。,這有什麼區別？,,,
2169,這有什麼區別？,女歌手應該很漂亮。,,,
2170,女歌手應該很漂亮。,歌手的聲音應該很好聽。,,,
2171,歌手的聲音應該很好聽。,它們看起來也應該不錯。,,,
2172,它們看起來也應該不錯。,有很多醜男歌手。,,,
2173,有很多醜男歌手。,男歌手不一定要長得好看。,,,
2174,男歌手不一定要長得好看。,那麼女歌手也不會。,,,
2175,那麼女歌手也不會。,好吧，我永遠不會買她的CD。,,,
2176,好吧，我永遠不會買她的CD。,但如果她漂亮的話你會買她的CD嗎？,,,
2177,但如果她漂亮的話你會買她的CD嗎？,是的。我會買她所有的CD。,,,
2178,所有的電視台都將轉向數位化。,是的，這將在下個月發生。,,,
2179,是的，這將在下個月發生。,其中大多數已經以數位方式進行廣播。,,,
2180,其中大多數已經以數位方式進行廣播。,數位訊號非常清晰。,,,
2181,數位訊號非常清晰。,哦，不，不是！,,,
2182,哦，不，不是！,你是什麼意思？,,,
2183,你是什麼意思？,我無法獲得單一頻道。,,,
2184,我無法獲得單一頻道。,你有數位電視嗎？,,,
2185,你有數位電視嗎？,當然。但我沒有電纜。,,,
2186,當然。但我沒有電纜。,你不需要電纜，但你需要一個好的天線。,,,
2187,你不需要電纜，但你需要一個好的天線。,但我有兔子耳朵。,,,
2188,但我有兔子耳朵。,兔子的耳朵不夠堅固。購買數位天線。,,,
2189,我和你有個約會。,哦真的嗎？,,,
2190,哦真的嗎？,你有興趣嗎？,,,
2191,你有興趣嗎？,或許。她喜歡什麼？,,,
2192,或許。她喜歡什麼？,她很有個性。,,,
2193,她很有個性。,呃-哦。這意味著她又胖又醜。,,,
2194,呃-哦。這意味著她又胖又醜。,她很可愛。,,,
2195,她很可愛。,好吧，所以她並不醜；她只是胖了。,,,
2196,好吧，所以她並不醜；她只是胖了。,她體重98磅。,,,
2197,她體重98磅。,還好，她不胖。那她有什麼問題呢？,,,
2198,還好，她不胖。那她有什麼問題呢？,誰說她有問題了？,,,
2199,誰說她有問題了？,問題是她沒有問題??他對我來說太好了！,,,
2200,我覺得你很漂亮。,謝謝。,,,
2201,謝謝。,你願意和我一起吃晚餐嗎？,,,
2202,你願意和我一起吃晚餐嗎？,我想。,,,
2203,我想。,週五晚上我可以接你嗎？,,,
2204,週五晚上我可以接你嗎？,什麼時候？,,,
2205,什麼時候？,八點鐘。,,,
2206,八點鐘。,聽起來不錯。,,,
2207,聽起來不錯。,我們要去一家法國餐館。,,,
2208,我們要去一家法國餐館。,我從來沒有去過法國餐廳。,,,
2209,我從來沒有去過法國餐廳。,我想你會喜歡這裡的食物的。,,,
2210,我想你會喜歡這裡的食物的。,我不會吃任何蝸牛！,,,
2211,你有一雙美麗的眼睛。,謝謝。你也是。,,,
2212,謝謝。你也是。,我希望我的眼睛是藍色的。,,,
2213,我希望我的眼睛是藍色的。,綠色的眼睛是怎麼回事？,,,
2214,綠色的眼睛是怎麼回事？,什麼都沒有，除了我最喜歡的顏色是藍色。,,,
2215,什麼都沒有，除了我最喜歡的顏色是藍色。,也許下輩子你會擁有藍眼睛。,,,
2216,也許下輩子你會擁有藍眼睛。,但如果我下輩子是一條魚怎麼辦？,,,
2217,但如果我下輩子是一條魚怎麼辦？,我認為有些魚有藍眼睛。,,,
2218,我認為有些魚有藍眼睛。,我希望我回來時不要變成一條魚。,,,
2219,我希望我回來時不要變成一條魚。,我希望我能像一隻貓一樣回來。,,,
2220,我希望我能像一隻貓一樣回來。,貓有美麗的眼睛。,,,
2221,貓有美麗的眼睛。,我想要有藍色的貓眼。,,,
2222,我愛你。,我也愛你。,,,
2223,我也愛你。,我第一天見到你就愛上你了。,,,
2224,我第一天見到你就愛上你了。,那是一見鍾情？,,,
2225,那是一見鍾情？,是的，那是一見鍾情。,,,
2226,是的，那是一見鍾情。,我一開始並不愛你。,,,
2227,我一開始並不愛你。,我知道。我不得不追你一段時間。,,,
2228,我知道。我不得不追你一段時間。,是的，你追我然後抓住了我。,,,
2229,是的，你追我然後抓住了我。,現在你永遠屬於我了。,,,
2230,現在你永遠屬於我了。,你永遠屬於我。,,,
2231,你永遠屬於我。,我們會一起變老。,,,
2232,我們會一起變老。,並一起快樂。,,,
2233,我愛上了那個女孩。,你告訴她了嗎？,,,
2234,你告訴她了嗎？,當然不是。,,,
2235,當然不是。,為什麼不？,,,
2236,為什麼不？,她會嘲笑我。,,,
2237,她會嘲笑我。,你怎麼知道？,,,
2238,你怎麼知道？,因為他們總是這樣做。,,,
2239,因為他們總是這樣做。,也許她不一樣。,,,
2240,也許她不一樣。,他們都是一樣的。,,,
2241,他們都是一樣的。,請她出去吃飯。,,,
2242,請她出去吃飯。,然後什麼？,,,
2243,然後什麼？,然後她就會知道你喜歡她。,,,
2244,抱抱我。,我心情不好。,,,
2245,我心情不好。,怎麼了？,,,
2246,怎麼了？,我看到你看著那個女人。,,,
2247,我看到你看著那個女人。,什麼女人？,,,
2248,什麼女人？,你知道，那個胸部大的女人。,,,
2249,你知道，那個胸部大的女人。,我沒有看她。,,,
2250,我沒有看她。,你也是。,,,
2251,你也是。,我對她沒興趣。,,,
2252,我對她沒興趣。,那你為什麼看著她？,,,
2253,那你為什麼看著她？,我在看別的東西。,,,
2254,我在看別的東西。,哦真的嗎？然後今晚就看著沙發。,,,
2255,你想去相親嗎？,你一定是在開玩笑。,,,
2256,你一定是在開玩笑。,不，我認真的。,,,
2257,不，我認真的。,我不想和一個盲人女人約會。,,,
2258,我不想和一個盲人女人約會。,相親不代表她是瞎子！,,,
2259,相親不代表她是瞎子！,這是什麼意思？,,,
2260,這是什麼意思？,相親是與不認識的人約會。,,,
2261,相親是與不認識的人約會。,我為什麼要跟一個不認識的人約會？,,,
2262,我為什麼要跟一個不認識的人約會？,嘗試一些新的和令人興奮的事情。,,,
2263,嘗試一些新的和令人興奮的事情。,如果我不喜歡她怎麼辦？,,,
2264,如果我不喜歡她怎麼辦？,那你就不要再跟她約會了。,,,
2265,明天晚上我有個約會。,真的嗎？誰與？,,,
2266,真的嗎？誰與？,我在市場上遇到的一個女孩。,,,
2267,我在市場上遇到的一個女孩。,你在超市遇到女孩了嗎？,,,
2268,你在超市遇到女孩了嗎？,她站在我身後，在收銀台排著一條很慢的隊。,,,
2269,她站在我身後，在收銀台排著一條很慢的隊。,你對她說什麼了？,,,
2270,你對她說什麼了？,我的購物車裡有兩個菠蘿，她問我在哪裡找到它們的。,,,
2271,我的購物車裡有兩個菠蘿，她問我在哪裡找到它們的。,她問你鳳梨的事？,,,
2272,她問你鳳梨的事？,我告訴她我已經把最後兩件放在架子上了，但我給了她我的一件。,,,
2273,我告訴她我已經把最後兩件放在架子上了，但我給了她我的一件。,你真好。,,,
2274,你真好。,她問我如何回報，所以我約她出去。,,,
2275,她問我如何回報，所以我約她出去。,有時排隊慢可能是件好事。,,,
2276,週五晚上你有約會嗎？,是的，事實上，我做到了。,,,
2277,是的，事實上，我做到了。,你和誰出去了？,,,
2278,你和誰出去了？,我在咖啡店遇到的一個男人。,,,
2279,我在咖啡店遇到的一個男人。,你去哪裡？,,,
2280,你去哪裡？,我們去了一家不錯的餐廳。,,,
2281,我們去了一家不錯的餐廳。,還有其他地方嗎？,,,
2282,還有其他地方嗎？,然後我們去了一家爵士俱樂部。,,,
2283,然後我們去了一家爵士俱樂部。,聽起來是個不錯的約會。,,,
2284,聽起來是個不錯的約會。,是的，這很愉快。,,,
2285,是的，這很愉快。,但你不會再跟他約會了嗎？,,,
2286,但你不會再跟他約會了嗎？,不。他很好，但沒有化學反應。,,,
2287,那天晚上我經歷了最糟糕的約會。,發生了什麼事？,,,
2288,發生了什麼事？,首先，他遲到了半小時。,,,
2289,首先，他遲到了半小時。,這不是一個好的開始。,,,
2290,這不是一個好的開始。,然後他就懶得道歉了。,,,
2291,然後他就懶得道歉了。,很不禮貌。,,,
2292,很不禮貌。,然後他開得太快去餐館了。,,,
2293,然後他開得太快去餐館了。,那很危險。,,,
2294,那很危險。,我想出去坐計程車回家。,,,
2295,我想出去坐計程車回家。,餐廳裡發生了什麼事？,,,
2296,餐廳裡發生了什麼事？,我們吃了一頓 40 美元的飯，他留下了 1 美元的小費！,,,
2297,我們吃了一頓 40 美元的飯，他留下了 1 美元的小費！,我想你不能再去那家餐廳了。,,,
2298,我不喜歡那個男人。,為什麼不？,,,
2299,為什麼不？,他是個骯髒的老頭。,,,
2300,他是個骯髒的老頭。,你是什麼意思？,,,
2301,你是什麼意思？,他已經大到可以當我父親了，但他卻約我出去。,,,
2302,他已經大到可以當我父親了，但他卻約我出去。,好吧，你不能怪一個男人提出這樣的要求。,,,
2303,好吧，你不能怪一個男人提出這樣的要求。,他應該表現出他的年齡。,,,
2304,他應該表現出他的年齡。,但很多老年人仍然對約會感興趣。,,,
2305,但很多老年人仍然對約會感興趣。,他們應該找到一個很好的嗜好。,,,
2306,他們應該找到一個很好的嗜好。,等你50歲了。,,,
2307,等你50歲了。,約會將是我最不關心的事。,,,
2308,約會將是我最不關心的事。,這就是你現在所說的。等你50歲了,,,
2309,你的女朋友曾經惹過你生氣嗎？,有時。,,,
2310,有時。,她是做什麼的？,,,
2311,她是做什麼的？,就在昨天，我告訴她我不會用全世界的錢來交換她。,,,
2312,就在昨天，我告訴她我不會用全世界的錢來交換她。,這是一件好事。,,,
2313,這是一件好事。,我也這麼想。,,,
2314,我也這麼想。,她說了什麼？,,,
2315,她說了什麼？,她笑了！她不相信我。,,,
2316,她笑了！她不相信我。,她這樣不太好。,,,
2317,她這樣不太好。,她說對我來說沒有什麼比錢更重要的了。,,,
2318,她說對我來說沒有什麼比錢更重要的了。,你說什麼？,,,
2319,你說什麼？,我告訴她我不會用她來交換世界上任何其他女人。,,,
2320,有些人的鼻子很好。,我希望我有一個好鼻子。我的太大了。,,,
2321,我希望我有一個好鼻子。我的太大了。,我的意思不是好看。我的意思是好聞。,,,
2322,我的意思不是好看。我的意思是好聞。,哦。但這可能是個詛咒。,,,
2323,哦。但這可能是個詛咒。,是的，因為您可能對氣味太敏感。,,,
2324,是的，因為您可能對氣味太敏感。,我會說。我女友的鼻子像緝毒犬。,,,
2325,我會說。我女友的鼻子像緝毒犬。,她抓到你吸毒了嗎？,,,
2326,她抓到你吸毒了嗎？,有點。每當我偷偷抽煙她都會知道。,,,
2327,有點。每當我偷偷抽煙她都會知道。,你不需要一個好的鼻子嗎？香煙很臭。,,,
2328,你不需要一個好的鼻子嗎？香煙很臭。,但當我早上偷偷抽一支煙時，她那天晚上就能聞到！,,,
2329,但當我早上偷偷抽一支煙時，她那天晚上就能聞到！,孩子，這鼻子真好。,,,
2330,孩子，這鼻子真好。,我告訴她她應該申請海關的工作。,,,
2331,我們出去吃飯吧。,這聽起來很有趣。,,,
2332,這聽起來很有趣。,你想去哪裡？,,,
2333,你想去哪裡？,讓我想一下。,,,
2334,讓我想一下。,我感覺自己像中國人。,,,
2335,我感覺自己像中國人。,聽起來很好吃。,,,
2336,聽起來很好吃。,我知道一家不錯的中餐館。,,,
2337,我知道一家不錯的中餐館。,有多遠？,,,
2338,有多遠？,距離這裡僅 10 分鐘路程。,,,
2339,距離這裡僅 10 分鐘路程。,我們需要預訂嗎？,,,
2340,我們需要預訂嗎？,不好了。我們可以直接走進去。,,,
2341,不好了。我們可以直接走進去。,現在走吧。我餓了！,,,
2342,我不敢相信這條線有多長。,這是一家很受歡迎的餐廳，不是嗎？,,,
2343,這是一家很受歡迎的餐廳，不是嗎？,是的，但這不是速食店，對嗎？,,,
2344,是的，但這不是速食店，對嗎？,這是城裡最慢的漢堡。,,,
2345,這是城裡最慢的漢堡。,那是因為他們在你等待的時候就做飯了。,,,
2346,那是因為他們在你等待的時候就做飯了。,是的。這就是為什麼它也是城裡最好的漢堡。,,,
2347,是的。這就是為什麼它也是城裡最好的漢堡。,一個很棒的漢堡和很棒的服務。,,,
2348,一個很棒的漢堡和很棒的服務。,是的，工人們很有禮貌。,,,
2349,是的，工人們很有禮貌。,而且它們很乾淨。,,,
2350,而且它們很乾淨。,我來這裡已經很多年了。,,,
2351,我來這裡已經很多年了。,我也是。,,,
2352,我也是。,打擾一下。他們剛剛撥打了我的號碼。,,,
2353,午餐很美味。,謝謝。,,,
2354,謝謝。,那是什麼湯？,,,
2355,那是什麼湯？,這是番茄湯。,,,
2356,這是番茄湯。,味道真好。,,,
2357,味道真好。,我在裡面放了檸檬和奶油。,,,
